row_number,mth,Dint,age,female,male,Dtol,div,Dkli,Dmco,Dmco1,Dmco2,Dmco3,cov,TI,QI,MCI,GIS
1,2020-01,0,18,1,0,0,2,0,0,0,0,0,1,,,,
2,2020-01,0,19,37,96,0,15,0,0,0,0,0,1,,,,
3,2020-01,0,20,79,215,0,14,0,0,0,0,0,1,,,,
4,2020-01,0,21,90,340,1,14,0,0,0,0,0,1,,,,
5,2020-01,0,22,129,438,1,14,0,0,0,0,0,1,,,,
6,2020-01,0,23,204,829,0,16,0,0,0,0,0,1,,,,
7,2020-01,0,24,348,999,0,15,0,0,0,0,0,1,,,,
8,2020-01,0,25,417,"1,324",1,16,0,0,0,0,0,1,,,,
9,2020-01,0,26,571,"1,799",0,17,0,0,0,0,0,1,,,3,
10,2020-01,0,27,646,"2,043",1,15,0,0,0,0,0,1,,,,
11,2020-01,0,28,731,"2,171",1,17,0,0,0,0,0,1,,,,
12,2020-01,0,29,866,"2,206",1,16,0,0,0,0,0,1,,,,
13,2020-01,1,30,901,"2,344",1,18,0,0,0,0,0,1,,,,
14,2020-01,1,31,895,"2,189",1,16,0,0,0,0,0,1,,,,
15,2020-01,1,32,"1,120","2,891",1,18,0,0,0,0,0,1,,,,
16,2020-01,1,33,"1,015","2,423",0,19,0,0,0,0,0,1,,,,
17,2020-01,1,34,"1,061","2,417",0,18,0,0,0,0,0,1,,,,
18,2020-01,1,35,"1,185","2,633",1,17,0,0,0,0,0,1,,1,,
19,2020-01,1,36,"1,123","2,535",1,18,0,0,0,0,0,1,,,,
20,2020-01,1,37,"1,193","2,422",0,18,0,0,0,0,0,1,,,,
21,2020-01,1,38,"1,183","2,486",0,18,0,0,0,0,0,1,3,,,
22,2020-01,1,39,"1,237","2,412",1,17,0,0,0,0,0,1,,,,
23,2020-01,1,40,"1,169","2,326",1,16,0,0,0,0,0,1,,,,
24,2020-01,1,41,"1,269","2,242",0,18,0,0,0,0,0,1,,,,
25,2020-01,1,42,"1,249","2,194",0,16,0,0,0,0,0,1,,,,
26,2020-01,1,43,"1,180","2,121",0,17,0,0,0,0,0,1,,,,
27,2020-01,1,44,"1,355","2,305",0,17,0,0,0,0,0,1,,,,
28,2020-01,1,45,"1,241","2,136",0,18,0,0,0,0,0,1,,,,
29,2020-01,1,46,"1,302","2,162",0,17,0,0,0,0,0,1,,,,
30,2020-01,1,47,"1,261","2,188",0,16,0,0,0,0,0,1,,,,
31,2020-01,1,48,"1,287","2,100",1,19,0,0,0,0,0,1,,,,
32,2020-01,1,49,"1,240","2,100",0,14,0,0,0,0,0,1,,,,
33,2020-01,1,50,"1,158","2,041",0,18,0,0,0,0,0,1,,,,
34,2020-01,1,51,"1,117","1,922",0,16,0,0,0,0,0,1,,,,
35,2020-01,1,52,"1,087","1,813",0,17,0,0,0,0,0,1,,,,
36,2020-01,1,53,"1,134","1,853",0,15,0,0,0,0,0,1,,,,
37,2020-01,1,54,"1,054","1,827",0,16,0,0,0,0,0,1,,,,
38,2020-01,1,55,"1,093","1,749",0,16,0,0,0,0,0,1,,,,
39,2020-01,1,56,"1,085","1,857",0,16,0,0,0,0,0,1,,,,
40,2020-01,1,57,"1,073","1,955",0,15,0,0,0,0,0,1,,,,
41,2020-01,1,58,"1,084","1,884",0,14,0,0,0,0,0,1,,,,
42,2020-01,1,59,"1,112","1,732",0,16,0,0,0,0,0,1,,,,
43,2020-01,0,60,"1,034","1,709",0,17,0,0,0,0,0,1,,,,
44,2020-01,1,61,958,"1,671",0,17,0,0,0,0,0,1,,,,
45,2020-01,0,62,896,"1,645",0,18,0,0,0,0,0,1,,,,
46,2020-01,0,63,954,"1,562",0,15,0,0,0,0,0,1,,,,
47,2020-01,0,64,867,"1,508",0,17,0,0,0,0,0,1,,,,
48,2020-01,0,65,798,"1,443",0,15,0,0,0,0,0,1,,,,
49,2020-01,0,66,716,"1,323",0,17,0,0,0,0,0,1,,,,
50,2020-01,0,67,705,"1,243",0,15,0,0,0,0,0,1,,,,
51,2020-01,0,68,651,"1,164",0,16,0,0,0,0,0,1,,,,
52,2020-01,0,69,580,"1,025",0,15,0,0,0,0,0,1,,,,
53,2020-01,0,70,496,993,0,15,0,0,0,0,0,1,,,,
54,2020-01,0,71,488,944,0,15,0,0,0,0,0,1,,,,
55,2020-01,0,72,432,909,0,15,0,0,0,0,0,1,,,,
56,2020-01,0,73,411,873,0,14,0,0,0,0,0,1,,,,
57,2020-01,0,74,411,704,0,17,0,0,0,0,0,1,,,,
58,2020-01,0,75,230,482,0,14,0,0,0,0,0,1,,,,
59,2020-01,0,76,257,471,0,14,0,0,0,0,0,1,,,,
60,2020-01,0,77,223,508,0,14,0,0,0,0,0,1,,,,
61,2020-01,0,78,201,389,0,16,0,0,0,0,0,1,,,,
62,2020-01,0,79,186,424,0,15,0,0,0,0,0,1,,,,
63,2020-01,0,80,154,333,0,14,0,0,0,0,0,1,,,,
64,2020-01,0,81,117,362,0,15,0,0,0,0,0,1,,,,
