Site,Month,BBP,PGP,TSP,GSP,MalP,Wh,FEC,EC,BarTG,BlTG,AD,TS,Msand,Cred,NorGr,Cgre,Rturn,Gkno,Rkno,BBSand,CS,RNS,Sbsand,Sand,SpcRic,SedSize,Inv,WQIndex
Morib,1,0,50,1000,70,0,50,0,1,3,0,0,440,0,300,0,2,0,0,0,0,0,1,0,5,11,2.5,450,2
Morib,2,0,44,970,80,0,44,0,0,2,0,0,390,0,180,0,1,0,0,0,0,0,2,0,5,10,1.8,330,2
Morib,3,0,45,1200,90,0,60,0,0,1,1,0,450,0,190,0,1,0,0,0,0,0,1,0,6,11,2.1,220,2
Morib,4,0,60,1100,88,0,77,0,1,4,0,0,438,0,200,0,0,0,0,0,0,0,0,0,7,9,1.9,400,2
Morib,5,0,70,980,90,0,80,0,0,2,0,0,440,0,190,0,1,0,0,0,0,0,0,0,5,9,1.9,357,2
Janggut,1,0,2,3500,20,0,20,1,120,24,120,0,44,0,400,0,2,2,120,1,15,120,400,0,0,17,0.1,600,1
Janggut,2,1,3,3400,18,1,21,1,123,25,100,0,50,0,412,0,3,3,130,0,14,130,420,0,0,18,0.09,650,1
Janggut,3,1,1,3300,23,1,22,0,124,18,120,0,60,0,435,0,5,5,200,1,13,133,444,0,0,18,0.08,630,1
Janggut,4,0,0,1800,66,0,19,1,130,19,90,0,50,0,422,0,1,1,200,2,13,140,543,0,0,16,0.1,630,1
Janggut,5,0,2,2400,30,1,19,0,129,18,88,0,45,0,450,0,0,3,180,1,12,144,540,0,0,16,0.1,600,1
TelAn,1,10,100,4000,60,0,200,120,5000,220,400,200,33,0,980,44,5,5,220,4,33,120,400,0,3,21,0.09,1000,1
TelAn,2,12,150,3700,66,1,201,130,4950,220,420,190,40,0,900,36,1,6,230,1,44,130,450,0,4,22,0.1,1120,1
TelAn,3,10,200,3900,72,1,200,133,4800,180,380,180,40,0,970,45,3,5,255,2,45,134,500,0,5,22,0.11,1100,1
TelAn,4,15,176,4100,70,0,190,140,3900,190,380,188,38,0,779,40,2,2,245,1,36,150,600,0,2,21,0.09,1200,1
TelAn,5,12,180,4100,68,1,188,130,5020,190,450,191,44,0,800,40,1,5,244,1,42,133,560,0,3,22,0.11,1130,1
GThai,1,5,15,100,80,0,5,0,1,4,44,4,50,44,120,1,15,0,0,0,5,12,120,4,0,18,0.1,600,3
GThai,2,5,17,120,80,0,5,0,4,3,57,4,50,36,130,0,14,0,1,0,12,13,120,4,0,18,0.1,650,3
GThai,3,10,18,100,97,0,6,0,6,2,45,4,33,44,125,1,16,0,1,1,13,13,133,4,0,20,0.11,620,3
GThai,4,10,12,96,90,0,7,0,1,4,57,4,33,18,127,0,22,0,0,0,8,14,140,4,0,17,0.12,644,3
GThai,5,5,11,96,88,0,8,0,5,3,66,4,40,15,130,0,13,0,1,1,9,16,132,4,0,19,0.1,654,3
PThai,1,2,3,120,120,0,30,5,20,20,1,0,120,0,130,15,1,1,5,2,15,66,200,0,6,20,2.5,600,2
PThai,2,1,2,130,130,0,30,4,18,18,0,1,120,0,130,14,1,2,4,1,14,55,200,0,5,20,1.8,600,2
PThai,3,1,1,134,133,0,29,3,19,15,0,0,133,0,133,12,0,4,3,1,13,43,159,0,7,18,2.1,560,2
PThai,4,1,4,133,125,0,28,2,12,14,1,1,140,0,140,12,0,5,4,1,12,45,170,0,9,20,1.9,580,2
PThai,5,0,2,140,133,0,29,5,11,17,0,1,99,0,135,15,1,1,1,0,13,50,187,0,6,18,1.9,557,2
